id,membership_type,membership_function,politican,parlament,commission,fraction,start_date,end_date
100,PARLA,MEMBE,100,100,,,2018-06-29,
101,PARLA,MEMBE,101,100,,,2020-06-26,
102,PARLA,MEMBE,102,100,,,2014-06-27,
103,PARLA,MEMBE,103,100,,,2018-06-29,
104,PARLA,MEMBE,104,100,,,2018-06-29,
105,PARLA,MEMBE,105,100,,,2014-06-27,
106,PARLA,MEMBE,106,100,,,2018-06-29,
107,PARLA,MEMBE,107,100,,,2016-07-01,
108,PARLA,MEMBE,108,100,,,2019-06-28,
109,PARLA,MEMBE,109,100,,,2020-06-26,
110,PARLA,MEMBE,110,100,,,2014-06-27,
111,PARLA,MEMBE,111,100,,,2014-06-27,
112,PARLA,MEMBE,112,100,,,2017-06-30,
113,PARLA,MEMBE,113,100,,,2016-07-01,
114,PARLA,MEMBE,114,100,,,2018-06-29,
115,PARLA,MEMBE,115,100,,,2019-06-28,
116,PARLA,MEMBE,116,100,,,2018-06-29,
117,PARLA,MEMBE,117,100,,,2010-07-01,
118,PARLA,MEMBE,118,100,,,2018-06-29,
119,PARLA,MEMBE,119,100,,,2014-06-27,
120,PARLA,MEMBE,120,100,,,2008-07-01,
121,PARLA,MEMBE,121,100,,,2013-04-25,
122,PARLA,MEMBE,122,100,,,2012-07-01,
123,PARLA,MEMBE,123,100,,,2019-06-28,
124,PARLA,MEMBE,124,100,,,2018-06-29,
125,PARLA,MEMBE,125,100,,,2008-07-01,
126,PARLA,MEMBE,126,100,,,2010-07-01,
127,PARLA,MEMBE,127,100,,,2012-07-01,
128,PARLA,MEMBE,128,100,,,2020-06-26,
129,PARLA,MEMBE,129,100,,,2018-06-29,
130,PARLA,MEMBE,130,100,,,2018-06-29,
131,PARLA,MEMBE,131,100,,,2014-06-27,
132,PARLA,MEMBE,132,100,,,2019-06-28,
133,PARLA,MEMBE,133,100,,,2018-06-29,
134,PARLA,MEMBE,134,100,,,2019-06-28,
135,PARLA,MEMBE,135,100,,,2018-06-29,
136,PARLA,MEMBE,136,100,,,2012-07-01,
137,PARLA,MEMBE,137,100,,,2020-06-26,
138,PARLA,MEMBE,138,100,,,2006-07-01,
139,PARLA,MEMBE,139,100,,,2016-07-01,
140,PARLA,MEMBE,140,100,,,2019-06-28,
141,PARLA,MEMBE,141,100,,,2011-09-29,
142,PARLA,MEMBE,142,100,,,2018-06-28,
143,PARLA,MEMBE,143,100,,,2014-06-27,
144,PARLA,MEMBE,144,100,,,2014-06-27,
145,PARLA,MEMBE,145,100,,,2019-06-28,
146,PARLA,MEMBE,146,100,,,2018-06-29,
147,PARLA,MEMBE,147,100,,,2020-06-26,
148,PARLA,MEMBE,148,100,,,2020-06-26,
149,PARLA,MEMBE,149,100,,,2016-07-01,
150,PARLA,MEMBE,150,100,,,2017-06-30,
151,PARLA,MEMBE,151,100,,,2014-06-27,
152,PARLA,MEMBE,152,100,,,2019-06-28,
153,PARLA,MEMBE,153,100,,,2012-07-01,
154,PARLA,MEMBE,154,100,,,2020-06-26,
300,PARLA,MEMBE,200,100,,,2005-07-01,2019-06-27
301,PARLA,MEMBE,201,100,,,2002-07-01,2012-06-30
302,PARLA,MEMBE,202,100,,,2008-07-01,2015-06-18
303,PARLA,MEMBE,203,100,,,2006-07-01,2014-06-26
304,PARLA,MEMBE,204,100,,,1998-07-01,2012-06-30
306,PARLA,MEMBE,206,100,,,2002-07-01,2018-06-28
307,PARLA,MEMBE,207,100,,,2006-07-01,2016-06-30
308,PARLA,MEMBE,208,100,,,1998-07-01,2012-06-30
309,PARLA,MEMBE,209,100,,,2006-07-01,2016-06-30
310,PARLA,MEMBE,210,100,,,2008-07-01,2018-06-28
311,PARLA,MEMBE,211,100,,,2006-07-01,2019-06-27
312,PARLA,MEMBE,212,100,,,2008-07-01,2014-06-26
313,PARLA,MEMBE,213,100,,,2010-07-01,2019-06-27
314,PARLA,MEMBE,214,100,,,2002-07-01,2012-06-30
315,PARLA,MEMBE,215,100,,,2008-07-01,2012-06-30
316,PARLA,MEMBE,216,100,,,1998-07-01,2011-09-29
317,PARLA,MEMBE,217,100,,,2010-07-01,2014-06-26
318,PARLA,MEMBE,218,100,,,2006-07-01,2019-06-27
319,PARLA,MEMBE,219,100,,,2002-07-01,2015-06-18
320,PARLA,MEMBE,220,100,,,2010-07-01,2020-06-25
321,PARLA,MEMBE,221,100,,,2012-07-01,2020-06-25
322,PARLA,MEMBE,222,100,,,2012-07-01,2018-06-28
323,PARLA,MEMBE,223,100,,,2011-07-01,2013-09-06
324,PARLA,MEMBE,224,100,,,2012-07-01,2018-06-28
325,PARLA,MEMBE,225,100,,,2012-07-01,2016-06-30
326,PARLA,MEMBE,226,100,,,2011-07-01,2018-06-28
327,PARLA,MEMBE,227,100,,,2012-07-01,2014-06-26
328,PARLA,MEMBE,228,100,,,2009-07-01,2018-06-28
329,PARLA,MEMBE,229,100,,,2006-07-01,2019-06-27
330,PARLA,MEMBE,230,100,,,2006-07-01,2018-06-28
331,PARLA,MEMBE,231,100,,,2010-07-01,2020-06-25
332,PARLA,MEMBE,232,100,,,2010-07-01,2019-06-27
333,PARLA,MEMBE,233,100,,,2015-06-19,2018-06-28
334,PARLA,MEMBE,234,100,,,2012-07-01,2018-06-28
335,PARLA,MEMBE,235,100,,,2014-06-27,2020-06-25
336,PARLA,MEMBE,236,100,,,2012-07-01,2020-06-25
337,PARLA,MEMBE,237,100,,,2007-07-01,2020-06-25
338,PARLA,MEMBE,238,100,,,2000-07-01,2012-06-30
339,PARLA,MEMBE,239,100,,,2010-07-01,2011-06-30
340,PARLA,MEMBE,240,100,,,2003-07-01,2014-06-26
341,PARLA,MEMBE,241,100,,,2000-07-01,2012-06-30
342,PARLA,MEMBE,242,100,,,1996-07-01,2012-06-30
343,PARLA,MEMBE,243,100,,,2006-07-01,2013-01-31
344,PARLA,MEMBE,244,100,,,2010-07-01,2014-12-31
345,PARLA,MEMBE,245,100,,,2008-07-01,2016-06-30
346,PARLA,MEMBE,246,100,,,2010-07-01,2011-06-30
347,PARLA,MEMBE,247,100,,,2000-07-01,2012-06-30
348,PARLA,MEMBE,248,100,,,1998-07-01,2014-06-26
349,PARLA,MEMBE,249,100,,,2006-07-01,2014-06-26
350,PARLA,MEMBE,250,100,,,2004-07-01,2012-06-30
351,PARLA,MEMBE,251,100,,,2010-07-01,2018-06-28
352,PARLA,MEMBE,252,100,,,2009-07-01,2019-06-27
353,PARLA,MEMBE,253,100,,,2008-07-01,2016-06-30
354,PARLA,MEMBE,254,100,,,2002-07-01,2016-06-30
355,PARLA,MEMBE,255,100,,,2002-07-01,2014-06-26
356,PARLA,MEMBE,256,100,,,2002-07-01,2012-06-30
357,PARLA,MEMBE,257,100,,,2002-07-01,2012-06-30
358,PARLA,MEMBE,258,100,,,2006-07-01,2012-06-30
359,PARLA,MEMBE,259,100,,,2006-07-01,2012-06-30
360,PARLA,MEMBE,260,100,,,2008-07-01,2012-06-30
361,PARLA,MEMBE,261,100,,,2008-07-01,2014-06-26
362,PARLA,MEMBE,262,100,,,2012-07-01,2017-06-29
363,PARLA,MEMBE,263,100,,,2012-07-01,2018-06-28
364,PARLA,MEMBE,264,100,,,2012-07-01,2014-06-26
365,PARLA,MEMBE,265,100,,,2014-06-27,2018-06-28
366,PARLA,MEMBE,266,100,,,2015-01-29,2018-06-28
367,PARLA,MEMBE,267,100,,,2015-06-19,2020-06-25
368,PARLA,MEMBE,268,100,,,2016-07-01,2018-06-28
369,PARLA,MEMBE,269,100,,,2016-07-01,2019-06-27
400,PARLA,VOTEC,229,100,,,2010-07-01,2011-06-30
401,PARLA,VOTEC,200,100,,,2010-07-01,2011-06-30
402,PARLA,VOTEC,209,100,,,2010-07-01,2011-06-30
403,PARLA,PRESI,238,100,,,2010-07-01,2011-06-30
404,PARLA,VICEP,257,100,,,2010-07-01,2011-06-30
