Aeugst am Albis,8914,1
Aeugstertal,8914,1
Zwillikon,8909,2
Affoltern am Albis,8910,2
Bonstetten,8906,3
Hausen am Albis,8915,4
Ebertswil,8925,4
Hedingen,8908,5
Kappel am Albis,8926,6
Hauptikon,8926,6
Uerzlikon,8926,6
Knonau,8934,7
Maschwanden,8933,8
Mettmenstetten,8932,9
Obfelden,8912,10
Ottenbach,8913,11
Rifferswil,8911,12
Stallikon,8143,13
Uetliberg,8143,13
Wettswil,8907,14
Adlikon b. Andelfingen,8452,21
Benken ZH,8463,22
Berg am Irchel,8415,23
Gräslikon,8415,23
Buch am Irchel,8414,24
Dachsen,8447,25
Dorf,8458,26
Feuerthalen,8245,27
Langwiesen,8246,27
Flaach,8416,28
Flurlingen,8247,29
Andelfingen,8450,30
Henggart,8444,31
Humlikon,8457,32
Kleinandelfingen,8451,33
Alten,8453,33
Oerlingen,8461,33
Nohl,8212,34
Uhwiesen,8248,34
Marthalen,8460,35
Ellikon am Rhein,8464,35
Ossingen,8475,37
Rheinau,8462,38
Thalheim an der Thur,8478,39
Rudolfingen,8465,40
Wildensbuch,8465,40
Trüllikon,8466,40
Truttikon,8467,41
Volken,8459,43
Bachenbülach,8184,51
Bassersdorf,8303,52
Bülach,8180,53
Dietlikon,8305,54
Eglisau,8193,55
Embrach,8424,56
Freienstein,8427,57
Teufen ZH,8428,57
Glattfelden,8192,58
Zweidlen,8192,58
Hochfelden,8182,59
Höri,8181,60
Hüntwangen,8194,61
Kloten,8302,62
Lufingen,8426,63
Nürensdorf,8309,64
Oberembrach,8425,65
Glattbrugg,8152,66
Opfikon,8152,66
Glattpark (Opfikon),8152,66
Rafz,8197,67
Rorbas,8427,68
Wallisellen,8304,69
Wasterkingen,8195,70
Wil ZH,8196,71
Winkel,8185,72
Bachs,8164,81
Boppelsen,8113,82
Buchs ZH,8107,83
Dällikon,8108,84
Dänikon ZH,8114,85
Dielsdorf,8157,86
Hüttikon,8115,87
Neerach,8173,88
Niederglatt ZH,8172,89
Niederhasli,8155,90
Nassenwil,8155,90
Oberhasli,8156,90
Niederweningen,8166,91
Oberglatt ZH,8154,92
Oberweningen,8165,93
Otelfingen,8112,94
Regensberg,8158,95
Regensdorf,8105,96
Watt,8105,96
Adlikon b. Regensdorf,8106,96
Rümlang,8153,97
Schleinikon,8165,98
Schöfflisdorf,8165,99
Stadel b. Niederglatt,8174,100
Windlach,8175,100
Steinmaur,8162,101
Sünikon,8162,101
Weiach,8187,102
Bäretswil,8344,111
Adetswil,8345,111
Bubikon,8608,112
Wolfhausen,8633,112
Tann,8632,113
Dürnten,8635,113
Steg im Tösstal,8496,114
Fischenthal,8497,114
Gibswil,8498,114
Bertschikon (Gossau ZH),8614,115
Grüt (Gossau ZH),8624,115
Gossau ZH,8625,115
Ottikon (Gossau ZH),8626,115
Grüningen,8627,116
Hinwil,8340,117
Wernetshausen,8342,117
Rüti ZH,8630,118
Aathal-Seegräben,8607,119
Wald ZH,8636,120
Laupen ZH,8637,120
Wetzikon ZH,8620,121
Wetzikon ZH,8623,121
Adliswil,8134,131
Kilchberg ZH,8802,135
Langnau am Albis,8135,136
Oberrieden,8942,137
Richterswil,8805,138
Samstagern,8833,138
Rüschlikon,8803,139
Gattikon,8136,141
Thalwil,8800,141
Erlenbach ZH,8703,151
Herrliberg,8704,152
Hombrechtikon,8634,153
Feldbach,8714,153
Forch,8127,154
Küsnacht ZH,8700,154
Männedorf,8708,155
Meilen,8706,156
Oetwil am See,8618,157
Stäfa,8712,158
Uerikon,8713,158
Uetikon am See,8707,159
Zumikon,8126,160
Zollikerberg,8125,161
Zollikon,8702,161
Fehraltorf,8320,172
Hittnau,8335,173
Kemptthal,8310,176
Grafstal,8310,176
Winterberg ZH,8312,176
Lindau,8315,176
Tagelswangen,8317,176
